callerID,api_timestamp,depthLimit,filter,page,replyLimit,sort,totalCommentsFound,totalCommentsReturned,totalEditorsSelectionFound,totalEditorsSelectionReturned,totalParentCommentsFound,totalParentCommentsReturned,totalRecommendationsFound,totalRecommendationsReturned,totalReplyCommentsFound,totalReplyCommentsReturned,totalReporterReplyCommentsFound,totalReporterReplyCommentsReturned,article_id
,1564244391,2,,1,3,,127,30,0,0,87,25,36,4,40,5,0,0,77
,1564244418,2,,1,3,,516,29,12,0,306,25,341,6,210,4,0,0,78
,1564244505,2,,1,3,,169,26,0,0,109,25,118,17,60,1,0,0,79
,1564244539,2,,1,3,,474,25,11,0,283,25,314,13,191,0,0,0,80
,1564244552,2,,1,3,,267,37,11,0,176,25,135,9,91,12,0,0,81
,1564244606,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,82
,1564244612,2,,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,83
,1564244619,2,,1,3,,479,27,10,0,303,25,262,4,176,2,0,0,84
,1564244707,2,,1,3,,313,26,9,0,179,25,213,5,134,1,0,0,85
,1564244761,2,,1,3,,265,35,11,6,147,25,160,19,118,10,0,0,86
,1564244801,2,,1,3,,62,30,7,7,48,25,26,10,14,5,0,0,87
,1564244815,2,,1,3,,305,30,11,4,201,25,125,9,104,5,0,0,88
,1564244876,2,,1,3,,26,26,5,5,25,25,1,1,1,1,0,0,89
,1564244889,2,,1,3,,451,31,14,2,266,25,291,15,185,6,0,0,90
,1564244963,2,,1,3,,411,47,8,2,180,25,326,32,231,22,0,0,91
,1564245017,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,92
,1564245024,2,,1,3,,345,48,6,0,153,25,222,23,192,23,0,0,93
,1564245072,2,,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,94
,1564245078,2,,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,95
