callerID,api_timestamp,depthLimit,filter,page,replyLimit,sort,totalCommentsFound,totalCommentsReturned,totalEditorsSelectionFound,totalEditorsSelectionReturned,totalParentCommentsFound,totalParentCommentsReturned,totalRecommendationsFound,totalRecommendationsReturned,totalReplyCommentsFound,totalReplyCommentsReturned,totalReporterReplyCommentsFound,totalReporterReplyCommentsReturned,article_id
,1564206858,2,,1,3,,200,26,7,0,162,25,144,13,38,1,0,0,0
,1564206899,2,,1,3,,451,31,14,2,266,25,291,15,185,6,0,0,1
